City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
198,Chuy,-33.6971,-53.4616,56.79,71,0,6.64,UY,2022-04-06 00:45:31,clear sky
199,Guerrero Negro,27.9769,-114.0611,64.11,76,0,15.66,MX,2022-04-06 00:45:32,clear sky
200,Morris,40.8334,-74.5329,48.72,78,100,3.44,US,2022-04-06 00:41:07,overcast clouds
201,Vendome,47.8,1.0667,50.29,98,19,6.06,FR,2022-04-06 00:41:39,few clouds
202,Upernavik,72.7868,-56.1549,19.69,98,100,5.1,GL,2022-04-06 00:45:32,light snow
203,Namatanai,-3.6667,152.4333,77.86,90,100,9.42,PG,2022-04-06 00:45:33,moderate rain
204,Hambantota,6.1241,81.1185,73.74,100,20,1.14,LK,2022-04-06 00:45:33,few clouds
205,San Policarpo,12.1791,125.5072,81.82,80,100,14.29,PH,2022-04-06 00:45:34,overcast clouds
206,Ilulissat,69.2167,-51.1,26.62,86,75,6.91,GL,2022-04-06 00:45:34,broken clouds
207,Iqaluit,63.7506,-68.5145,2.93,77,75,25.32,CA,2022-04-06 00:45:35,broken clouds
208,Wakkanai,45.4094,141.6739,33.78,93,75,17.27,JP,2022-04-06 00:45:35,broken clouds
209,Minot,48.2325,-101.2963,37.62,93,100,10.36,US,2022-04-06 00:45:36,overcast clouds
210,Rawson,-43.3002,-65.1023,70.16,41,100,15.93,AR,2022-04-06 00:44:30,overcast clouds
211,Muros,42.7762,-9.0603,47.08,68,0,9.73,ES,2022-04-06 00:45:36,clear sky
212,Beihai,21.4833,109.1,72.18,72,13,0.76,CN,2022-04-06 00:45:36,few clouds
213,Berlevag,70.8578,29.0864,30.0,87,100,28.92,NO,2022-04-06 00:45:37,light snow
214,Maniitsoq,65.4167,-52.9,26.55,92,96,3.24,GL,2022-04-06 00:45:37,overcast clouds
215,Dauphin,51.1494,-100.0502,37.54,97,100,2.3,CA,2022-04-06 00:45:37,overcast clouds
216,Paredon,16.0333,-93.8667,81.64,68,5,4.54,MX,2022-04-06 00:45:38,clear sky
217,De-Kastri,51.4667,140.7833,33.87,49,100,12.33,RU,2022-04-06 00:45:38,overcast clouds
218,Bollnas,61.3482,16.3946,26.1,66,1,11.12,SE,2022-04-06 00:45:38,clear sky
219,Melfi,40.9965,15.6514,41.49,89,35,4.54,IT,2022-04-06 00:45:38,scattered clouds
220,Boyuibe,-20.4167,-63.2833,73.45,69,100,1.63,BO,2022-04-06 00:45:39,overcast clouds
221,Truth Or Consequences,33.1284,-107.2528,86.23,10,0,23.02,US,2022-04-06 00:45:39,clear sky
222,Srednekolymsk,67.45,153.6833,-1.39,87,85,6.08,RU,2022-04-06 00:45:39,overcast clouds
223,Bac Lieu,9.285,105.7244,83.08,72,96,12.01,VN,2022-04-06 00:45:40,overcast clouds
224,Beisfjord,68.3751,17.5988,28.45,87,100,7.11,NO,2022-04-06 00:45:40,overcast clouds
225,Oyama,36.3,139.8,60.58,68,100,2.04,JP,2022-04-06 00:45:40,overcast clouds
226,Sumkino,58.1108,68.3244,29.32,83,100,13.82,RU,2022-04-06 00:45:40,overcast clouds
227,Elizabeth City,36.2946,-76.2511,66.22,89,75,12.66,US,2022-04-06 00:45:41,broken clouds
228,San Vicente,-26.6167,-54.1333,65.44,98,90,1.86,AR,2022-04-06 00:46:41,light rain
229,Kastamonu,41.5,33.6667,38.35,91,8,3.27,TR,2022-04-06 00:46:41,clear sky
230,Saint-Pierre,-21.3393,55.4781,75.29,88,75,4.61,RE,2022-04-06 00:46:42,broken clouds
231,Husavik,66.0449,-17.3389,28.13,78,100,24.0,IS,2022-04-06 00:46:42,overcast clouds
232,Cabra,37.4725,-4.4421,41.67,89,19,3.62,ES,2022-04-06 00:46:42,few clouds
233,Vardo,70.3705,31.1107,33.03,69,100,26.8,NO,2022-04-06 00:46:43,overcast clouds
234,Spokane,47.6166,-117.3677,52.21,32,75,23.02,US,2022-04-06 00:46:43,broken clouds
235,Codrington,-38.2667,141.9667,63.86,58,77,11.7,AU,2022-04-06 00:46:43,broken clouds
236,Grindavik,63.8424,-22.4338,28.87,69,40,24.16,IS,2022-04-06 00:46:43,scattered clouds
237,Jalu,29.0331,21.5482,81.46,9,64,2.91,LY,2022-04-06 00:46:44,broken clouds
238,Kargasok,59.0556,80.8572,35.49,88,8,11.61,RU,2022-04-06 00:46:44,clear sky
239,Vaitape,-16.5167,-151.75,82.99,76,7,19.77,PF,2022-04-06 00:46:44,light rain
240,Harper,4.375,-7.7169,80.51,87,100,7.14,LR,2022-04-06 00:46:45,overcast clouds
241,Puttur,12.7667,75.2167,78.91,98,94,1.5,IN,2022-04-06 00:46:45,overcast clouds
242,Nijar,36.9665,-2.206,47.84,76,100,5.75,ES,2022-04-06 00:46:45,overcast clouds
243,Diego De Almagro,-26.3667,-70.05,66.94,23,38,1.88,CL,2022-04-06 00:46:46,scattered clouds
244,Valparai,10.3667,76.9667,61.45,83,5,2.24,IN,2022-04-06 00:46:46,clear sky
245,Igrim,63.1906,64.4162,22.68,94,100,10.71,RU,2022-04-06 00:46:46,light snow
246,Tuatapere,-46.1333,167.6833,50.92,76,100,19.24,NZ,2022-04-06 00:46:47,overcast clouds
247,Bambanglipuro,-7.95,110.2833,79.47,82,97,2.37,ID,2022-04-06 00:46:47,overcast clouds
248,Eureka,40.8021,-124.1637,60.67,74,8,8.99,US,2022-04-06 00:46:47,clear sky
249,Mar Del Plata,-38.0023,-57.5575,67.08,65,0,13.8,AR,2022-04-06 00:46:48,clear sky
250,Crowley,30.2141,-92.3746,77.07,89,1,9.13,US,2022-04-06 00:45:47,clear sky
251,Fortuna,40.5982,-124.1573,55.92,68,0,14.97,US,2022-04-06 00:46:48,clear sky
252,Plouzane,48.3833,-4.6167,50.18,76,100,12.66,FR,2022-04-06 00:46:48,overcast clouds
253,Magadan,59.5667,150.8,24.53,71,100,16.8,RU,2022-04-06 00:46:49,overcast clouds
254,Kysyl-Syr,63.8986,122.7617,5.11,89,67,6.8,RU,2022-04-06 00:46:49,broken clouds
255,Rocha,-34.4833,-54.3333,53.73,62,0,6.89,UY,2022-04-06 00:46:49,clear sky
256,Golfito,8.639,-83.166,75.09,97,100,3.33,CR,2022-04-06 00:46:49,overcast clouds
257,Hami,42.8,93.45,61.03,19,0,8.32,CN,2022-04-06 00:46:50,clear sky
258,Westport,41.1415,-73.3579,51.13,70,100,4.61,US,2022-04-06 00:42:40,overcast clouds
